id,tytul,program,status,region,operator,data_od,data_do,dofinansowanie_proc,kwota_max,typ_firmy,bur,nabor_ciagly,wiarygodnosc,do_3h_od_poznania,url,pierwsze_wykrycie,ostatnia_weryfikacja,nowy,zmieniony
ee881b0427b01866,Fundacja Inicjatyw Regionalnych Kluczowe Kompetencje - Sektor Ochrona i Bezpieczeństwo Mienia i Osób Dofinansowanie na usługi rozwojowe w sektorze ochrony i bezpieczeństwa mienia i osób. Nabór kończy się 31 grudnia 2029,FERS,aktywny,Polska,PARP – kompetencje sektorowe,2026-01-01,2029-12-31,,,do weryfikacji,nieokreślone,False,wysoka,nie,http://ochrona.fundacjainicjatyw.eu/,2026-08-17,2026-08-17,False,True
d8fb98ec59b63460,Fundacja Kaliski Inkubator Przedsiębiorczości Kompetencje dla sektora usług BEAUTY Dofinansowanie na usługi rozwojowe w sektorze usług Beauty. Nabór kończy się 31 grudnia 2028,FERS,aktywny,Polska,PARP – kompetencje sektorowe,2026-01-01,2028-12-31,,,do weryfikacji,nieokreślone,False,wysoka,nie,https://beauty.inkubator.kalisz.pl/,2026-08-17,2026-08-17,False,True
0e02162c86c7d5da,Kluczowe kompetencje dla sektorów – oferta dla przedsiębiorców,FERS,aktywny,Polska,PARP – kompetencje sektorowe,2026-01-01,2029-12-31,,,"mikro, średnie, duże, małe",tak,False,wysoka,nie,https://fers.parp.gov.pl/component/grants/grants/kluczowe-kompetencje-dla-sektorow---oferta-dla-przedsiebiorcow,2026-08-17,2026-08-17,False,True
8b44f2aad7307a5c,Stowarzyszenie „Centrum Rozwoju Ekonomicznego Pasłęka” Usługi Rozwojowe dla Sektora Rachunkowości i Podatków. Dofinansowanie na usługi rozwojowe w sektorze rachunkowości i podatków.,krajowe,aktywny,Polska,PARP – kompetencje sektorowe,2026-01-01,2029-12-31,80,,"mikro, średnie, duże, małe",nieokreślone,False,wysoka,nie,http://www.sektorrach.pl/,2026-08-17,2026-08-17,False,True
e18319d1e32b0bbe,Startup Booster Poland – Scale Up Green,FENG,aktywny,Polska,PARP – FENG,2026-01-30,2027-09-30,,400000,"mikro, duże, małe, średnie",nieokreślone,False,wysoka,nie,https://feng.parp.gov.pl/component/grants/grants/startup-booster-poland---Scale-Up-Green,2026-08-17,2026-08-17,False,True
a09cc911d45c99f3,Krajowy Fundusz Szkoleniowy - nabory wniosków 2026,KFS,aktywny,kujawsko-pomorskie,WUP Toruń,2026-03-24,2026-09-04,,,do weryfikacji,nieokreślone,False,wysoka,tak,https://wuptorun.praca.gov.pl/strona-glowna/-/asset_publisher/jaix5tGBAiqD/content/krajowy-fundusz-szkoleniowy-nabory-wnioskow-2026?p_r_p_assetEntryId=60737376,2026-07-30,2026-08-17,False,True
4c1a166d5d5d6028,Rekrutacja – Usługi rozwojowe w subregionie pilskim,BUR,aktywny,wielkopolskie,Fundusz Rozwoju i Promocji Województwa Wielkopolskiego,2026-04-01,2026-04-01,,,"mikro, małe, średnie",tak,True,wysoka,tak,https://rozwijamy.eu/strona-glowna/,2026-08-19,2026-08-19,True,False
5bdbadf297aad2bb,GOZ – to się opłaca – oferta dla przedsiębiorców,FERS,aktywny,Polska,PARP – GOZ,2026-04-22,2027-01-31,40,,"mikro, średnie, duże",tak,False,wysoka,nie,https://fers.parp.gov.pl/component/grants/grants/goz---to-sie-oplaca---oferta-dla-przedsiebiorcow,2026-08-17,2026-08-17,False,True
3b0b5c48fe2b9962,KARR – nabór ciągły kwalifikacji dla pracowników MŚP,BUR,aktywny,zachodniopomorskie,Koszalińska Agencja Rozwoju Regionalnego,2026-07-02,2026-07-02,,,do weryfikacji,tak,True,wysoka,częściowo,https://uslugirozwojowe.karrsa.pl/2026/07/02/komunikat-w-sprawie-ograniczenia-naboru-wnioskow/,2026-08-19,2026-08-19,True,False
613a73d92159ce0a,OGŁOSZENIE INFORMACYJNE O NABORZE WNIOSKÓW O PRZYZNANIE ŚRODKÓW Z KRAJOWEGO FUNDUSZU SZKOLENIOWEGO (KFS) NA SFINANSOWANIE KOSZTÓW KSZTAŁCENIA USTAWICZNEGO,KFS,aktywny,kujawsko-pomorskie,PUP Toruń,2026-07-31,2026-08-17,,,do weryfikacji,nieokreślone,False,wysoka,tak,https://torun.praca.gov.pl/strona-glowna/-/asset_publisher/Qat7ebECUfDp/content/przedluzenie-terminu-ogloszenie-informacyjne-o-naborze-wnioskow-o-przyznanie-srodkow-z-krajowego-funduszu-szkoleniowego-kfs-na-sfinansowanie-kosztow-ksztalcenia-ustawicznego?p_r_p_assetEntryId=66407451,2026-08-17,2026-08-17,True,False
899dfee90308ed91,10.08.2026r. Rusza nabór wniosków o środki KFS,KFS,aktywny,lubuskie,PUP Gorzów Wielkopolski,2026-08-10,2026-08-21,,,średnie,nieokreślone,False,wysoka,tak,https://gorzow.praca.gov.pl/strona-glowna/-/asset_publisher/Qat7ebECUfDp/content/informacja-o-planowanym-naborze-wnioskow-o-srodki-kfs?p_r_p_assetEntryId=66818222,2026-07-30,2026-08-17,False,True
575374fc0df74182,V Nabór wniosków z Krajowego Funduszu Szkoleniowego 2026,KFS,aktywny,wielkopolskie,PUP Turek,2026-08-12,2026-08-18,,,średnie,nieokreślone,False,wysoka,tak,https://turek.praca.gov.pl/strona-glowna/-/asset_publisher/Qat7ebECUfDp/content/iii-nabor-wnioskow-o-przyznanie-srodkow-krajowego-funduszu-szkoleniowego?p_r_p_assetEntryId=63327101,2026-08-17,2026-08-17,True,False
dd2e9702ad77d2e1,Nabór wniosków w ramach środków KFS,KFS,aktywny,wielkopolskie,PUP Kępno,2026-08-13,2026-08-20,,,do weryfikacji,nieokreślone,False,wysoka,tak,https://kepno.praca.gov.pl/-/nabor-wnioskow-w-ramach-srodkow-kfs,2026-07-30,2026-08-17,False,True
0a83ba4aeea7662d,Spark 4.0 – edycja Rethink,FENG,aktywny,Polska,PARP – FENG,2026-08-14,2027-09-30,,350000,"mikro, duże, małe, średnie",nieokreślone,False,wysoka,nie,https://feng.parp.gov.pl/component/grants/grants/lodzka-specjalna-strefa-ekonomiczna-lsse,2026-08-17,2026-08-17,False,True
