id,category,region,operator,url,enabled,direct,direct_title,business_program
swiecie,KFS,kujawsko-pomorskie,PUP Świecie,https://swiecie.praca.gov.pl/strona-glowna,true
torun,KFS,kujawsko-pomorskie,PUP dla Powiatu Toruńskiego,https://torun.praca.gov.pl/strona-glowna,true
tuchola,KFS,kujawsko-pomorskie,PUP Tuchola,https://tuchola.praca.gov.pl/strona-glowna,true
wabrzezno,KFS,kujawsko-pomorskie,PUP Wąbrzeźno,https://wabrzezno.praca.gov.pl/strona-glowna,true
wloclawek,KFS,kujawsko-pomorskie,PUP Włocławek,https://wloclawek.praca.gov.pl/strona-glowna,true
znin,KFS,kujawsko-pomorskie,PUP Żnin,https://znin.praca.gov.pl/strona-glowna,true
wup_szczecin,regionalne,zachodniopomorskie,WUP Szczecin,https://www.wup.pl/pl/projekty_wlasne/zachodniopomorskie-bony-szkoleniowe/aktualnoci,true
fe_zachodniopomorskie,regionalne,zachodniopomorskie,Fundusze Europejskie dla Pomorza Zachodniego,https://funduszeue.wzp.pl/nabory,true
karr_bur,BUR,zachodniopomorskie,Koszalińska Agencja Rozwoju Regionalnego,https://uslugirozwojowe.karrsa.pl/2026/07/02/komunikat-w-sprawie-ograniczenia-naboru-wnioskow/,true,true,KARR – nabór ciągły kwalifikacji dla pracowników MŚP
pfp_fur3_bur,BUR,zachodniopomorskie,Polska Fundacja Przedsiębiorczości,https://www.fur.pfp.com.pl/,true
zarr_bur,BUR,zachodniopomorskie,Zachodniopomorska Agencja Rozwoju Regionalnego,http://www.zarr.com.pl/oferta/uslugi-rozwojowe-3/,true,true,ZARR – usługi rozwojowe dla MMŚP
bialogard,KFS,zachodniopomorskie,PUP Białogard,https://bialogard.praca.gov.pl/strona-glowna,true
choszczno,KFS,zachodniopomorskie,PUP Choszczno,https://choszczno.praca.gov.pl/strona-glowna,true
drawsko,KFS,zachodniopomorskie,PUP Drawsko Pomorskie,https://drawskopomorskie.praca.gov.pl/strona-glowna,true
goleniow,KFS,zachodniopomorskie,PUP Goleniów,https://goleniow.praca.gov.pl/strona-glowna,true
gryfice,KFS,zachodniopomorskie,PUP Gryfice,https://gryfice.praca.gov.pl/strona-glowna,true
gryfino,KFS,zachodniopomorskie,PUP Gryfino,https://gryfino.praca.gov.pl/strona-glowna,true
kamien,KFS,zachodniopomorskie,PUP Kamień Pomorski,https://kamienpomorski.praca.gov.pl/strona-glowna,true
kolobrzeg,KFS,zachodniopomorskie,PUP Kołobrzeg,https://kolobrzeg.praca.gov.pl/strona-glowna,true
koszalin,KFS,zachodniopomorskie,PUP Koszalin,https://koszalin.praca.gov.pl/strona-glowna,true
lobez,KFS,zachodniopomorskie,PUP Łobez,https://lobez.praca.gov.pl/strona-glowna,true
mysliborz,KFS,zachodniopomorskie,PUP Myślibórz,https://mysliborz.praca.gov.pl/strona-glowna,true
police,KFS,zachodniopomorskie,PUP Police,https://police.praca.gov.pl/strona-glowna,true
pyrzyce,KFS,zachodniopomorskie,PUP Pyrzyce,https://pyrzyce.praca.gov.pl/strona-glowna,true
slawno,KFS,zachodniopomorskie,PUP Sławno,https://slawno.praca.gov.pl/strona-glowna,true
stargard,KFS,zachodniopomorskie,PUP Stargard,https://stargard.praca.gov.pl/strona-glowna,true
szczecin,KFS,zachodniopomorskie,PUP Szczecin,https://szczecin.praca.gov.pl/strona-glowna,true
szczecinek,KFS,zachodniopomorskie,PUP Szczecinek,https://szczecinek.praca.gov.pl/strona-glowna,true
swidwin,KFS,zachodniopomorskie,PUP Świdwin,https://swidwin.praca.gov.pl/strona-glowna,true
walcz,KFS,zachodniopomorskie,PUP Wałcz,https://walcz.praca.gov.pl/strona-glowna,true
wup_zielona,regionalne,lubuskie,WUP Zielona Góra,https://wupzielonagora.praca.gov.pl/strona-glowna,true
fe_lubuskie,regionalne,lubuskie,Fundusze Europejskie dla Lubuskiego,https://funduszeue.lubuskie.pl/nabory,true
lubuskie_bony_bur,BUR,lubuskie,Zachodnia Izba Przemysłowo-Handlowa / Agencja Rozwoju Regionalnego S.A.,https://www.lubuskiebony.pl/files/documentation/3191105688/regulamin-naboru-i-uczestnictwa-w-projekcie-wersja-obowiazujaca-od-18-lutego-2026-r.pdf,true,true,Lubuskie Bony Rozwojowe – szkolenia i doradztwo dla firm
gorzow,KFS,lubuskie,PUP Gorzów Wielkopolski,https://gorzow.praca.gov.pl/strona-glowna,true
krosno,KFS,lubuskie,PUP Krosno Odrzańskie,https://krosnoodrzanskie.praca.gov.pl/strona-glowna,true
miedzyrzecz,KFS,lubuskie,PUP Międzyrzecz,https://miedzyrzecz.praca.gov.pl/strona-glowna,true
nowasol,KFS,lubuskie,PUP Nowa Sól,https://nowasol.praca.gov.pl/strona-glowna,true
slubice,KFS,lubuskie,PUP Słubice,https://slubice.praca.gov.pl/strona-glowna,true
strzelce,KFS,lubuskie,PUP Strzelce Krajeńskie,https://strzelcekrajenskie.praca.gov.pl/strona-glowna,true
sulecin,KFS,lubuskie,PUP Sulęcin,https://sulecin.praca.gov.pl/strona-glowna,true
swiebodzin,KFS,lubuskie,PUP Świebodzin,https://swiebodzin.praca.gov.pl/strona-glowna,true
wschowa,KFS,lubuskie,PUP Wschowa,https://wschowa.praca.gov.pl/strona-glowna,true
zagan,KFS,lubuskie,PUP Żagań,https://zagan.praca.gov.pl/strona-glowna,true
zary,KFS,lubuskie,PUP Żary,https://zary.praca.gov.pl/strona-glowna,true
zielonagora,KFS,lubuskie,PUP Zielona Góra,https://zielonagora.praca.gov.pl/strona-glowna,true
menadzer_hr_paslek,FERS,Polska,SCREP – Centrum Rozwoju Ekonomicznego Pasłęka,https://menadzerhr.pl/rekrutacja/,true,true,Menadżer HR – nabór dla pracodawców i kadry HR,true
